teamname,year,league,win_loss_sequence
New York Knicks,1970,NBA,11111011111111111111111101110100011101110011101101111111110110111001111101010100001100101110111010101
Milwaukee Bucks,1970,NBA,11100101100101101010011011100111111101111011111011110111011011101011011110111001101011100100
Baltimore Bullets,1970,NBA,11010100011101111111110100010111101100010011110101010101101110011011010010110110110011010
Philadelphia 76ers,1970,NBA,111010010000100000111100111011110100101111000101110110000110000110101110101100010101000
Cincinnati Royals,1970,NBA,0100010001101100011100100101100101001111011100000010110010000001110011001010011001
Boston Celtics,1970,NBA,0000111000000011001001100111000101101110000110100001100111010011100100100010001001
Detroit Pistons,1970,NBA,0101001010010010010010101101000001000000100111001011001000101001101011000101100000
Atlanta Hawks,1970,NBA,1101001111111110011000111011010100110111001110000011010000111001011101000110111111111010000
Los Angeles Lakers,1970,NBA,0011111000010111110000001100001010110111010010111111111000101101001010110101111011100011111110101010
Chicago Bulls,1970,NBA,001101110010100110010111000101100010000010011111010001000010001110101100011111100100010
Phoenix Suns,1970,NBA,10000101011001100000001111001110000100110000110101101010011111000010100111001011110111000
Seattle SuperSonics,1970,NBA,0000001010101010000010010011100011100010000100111000110111001110000111111100010110
San Francisco Warriors,1970,NBA,0111010110000001101101101000110011000101100001000100011010010000010000000100100100
San Diego Rockets,1970,NBA,0100000000111101011000100010001111010000011100000001000001101010000100000000011100
Milwaukee Bucks,1971,NBA,101111111111111111001111010110111110111111111101101110101111111111111111111100010011101110111111
New York Knicks,1971,NBA,1101101111111010011100111111001110111101110100001011111011000000101101111011001110101111100100
Philadelphia 76ers,1971,NBA,11110101001011011011000010100100011111101101011011101110101011000110101001111001011000110
Boston Celtics,1971,NBA,0001011011111000010111111111101001000101101101001001000100111011010001101001001111
Buffalo Braves,1971,NBA,1000000000110011001001001000001010100000000100010000111000000011001000000011010000
Baltimore Bullets,1971,NBA,1101100110010011011101010011110010101111110010101110100011001001010100001100001010011100100110110000
Atlanta Hawks,1971,NBA,010000100010100011000000100011110100000110000001101000110011111001010101111110111001000
Cincinnati Royals,1971,NBA,0000011100001010011011000111001011100111000010010010100100000001001000011011111000
Cleveland Cavaliers,1971,NBA,0000000000000001000000000000100000001000110000000100101101100000000010000100010100
Chicago Bulls,1971,NBA,10011110101101011010100011111101110010011001100111001111110010111111101101110100100011010
Phoenix Suns,1971,NBA,1000110001111011100011011011110010100011011100111100111110101101111011101000100110
Detroit Pistons,1971,NBA,1111111110111000000110100111010110110111011101111100010110010100001011000001000101
Los Angeles Lakers,1971,NBA,1001011111011100100110101110011001110000110101111010111111001110110111100010010001110010100100
San Francisco Warriors,1971,NBA,011001000111101011101101100001101111000101000011110001111100010100001010001011011000010
San Diego Rockets,1971,NBA,0001111001010001011011011101101010001110011000000000010000001011110111010001111111
Seattle SuperSonics,1971,NBA,0111000011010011101000011010010000010111100011100110100010000101101100011011011001
Portland Trail Blazers,1971,NBA,1010001010100000100110001000000110000001001101100010000011111000010000000001011111
Los Angeles Lakers,1972,NBA,1111011001111111111111111111111111111111110101001111111101101110011111011111111011111101101101111
Boston Celtics,1972,NBA,011110111111000100110010111001111111111001100111110011111111101000011111001111011110101100100
New York Knicks,1972,NBA,00111010101000011111110010110111111101100000101110110111011111101010010100110010100101111101110000
