Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Mon, Apr 1, 1968",Philadelphia 76ers,113,New York Knicks,97,Box Score,,,,Madison Square Garden (IV),
"Mon, Apr 1, 1968",Boston Celtics,111,Detroit Pistons,103,Box Score,,9483.0,,Cobo Arena,
"Tue, Apr 2, 1968",St. Louis Hawks,106,San Francisco Warriors,111,Box Score,,,,Cow Palace,
"Fri, Apr 5, 1968",San Francisco Warriors,105,Los Angeles Lakers,133,Box Score,,,,The Forum,
"Fri, Apr 5, 1968",Boston Celtics,127,Philadelphia 76ers,118,Box Score,,14412.0,,The Spectrum,
"Wed, Apr 10, 1968",Philadelphia 76ers,115,Boston Celtics,106,Box Score,,14780.0,,Boston Garden,
"Wed, Apr 10, 1968",San Francisco Warriors,112,Los Angeles Lakers,115,Box Score,,,,The Forum,
"Thu, Apr 11, 1968",Boston Celtics,114,Philadelphia 76ers,122,Box Score,,15102.0,,The Spectrum,
"Thu, Apr 11, 1968",Los Angeles Lakers,128,San Francisco Warriors,124,Box Score,,,,Cow Palace,
"Sat, Apr 13, 1968",Los Angeles Lakers,106,San Francisco Warriors,100,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sun, Apr 14, 1968",Philadelphia 76ers,110,Boston Celtics,105,Box Score,,10503.0,,Boston Garden,
"Mon, Apr 15, 1968",Boston Celtics,122,Philadelphia 76ers,104,Box Score,,15202.0,,The Spectrum,
"Wed, Apr 17, 1968",Philadelphia 76ers,106,Boston Celtics,114,Box Score,,14780.0,,Boston Garden,
"Fri, Apr 19, 1968",Boston Celtics,100,Philadelphia 76ers,96,Box Score,,15202.0,,The Spectrum,
"Sun, Apr 21, 1968",Los Angeles Lakers,101,Boston Celtics,107,Box Score,,9546.0,,Boston Garden,
"Wed, Apr 24, 1968",Los Angeles Lakers,123,Boston Celtics,113,Box Score,,14780.0,,Boston Garden,
"Fri, Apr 26, 1968",Boston Celtics,127,Los Angeles Lakers,119,Box Score,,17011.0,,The Forum,
"Sun, Apr 28, 1968",Boston Celtics,105,Los Angeles Lakers,118,Box Score,,17147.0,,The Forum,
"Tue, Apr 30, 1968",Los Angeles Lakers,117,Boston Celtics,120,Box Score,OT,14780.0,,Boston Garden,
