Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Fri, Apr 1, 1983",,Milwaukee Bucks,83,Boston Celtics,97,Box Score,,15320,1:52,Boston Garden,
"Fri, Apr 1, 1983",,Atlanta Hawks,108,Chicago Bulls,107,Box Score,,6417,,Chicago Stadium,
"Fri, Apr 1, 1983",,Cleveland Cavaliers,111,Detroit Pistons,120,Box Score,,,,Pontiac Silverdome,
"Fri, Apr 1, 1983",,Washington Bullets,123,Indiana Pacers,109,Box Score,,3495,,Market Square Arena,
"Fri, Apr 1, 1983",,New York Knicks,88,Los Angeles Lakers,102,Box Score,,17505,,The Forum,
"Fri, Apr 1, 1983",,New Jersey Nets,111,Philadelphia 76ers,104,Box Score,,18482,2:13,The Spectrum,
"Fri, Apr 1, 1983",,Houston Rockets,99,San Antonio Spurs,124,Box Score,,,,HemisFair Arena,
"Fri, Apr 1, 1983",,Kansas City Kings,135,San Diego Clippers,119,Box Score,,3267,,San Diego Sports Arena,
"Fri, Apr 1, 1983",,Dallas Mavericks,95,Seattle SuperSonics,101,Box Score,,12782,,Seattle Kingdome,
"Fri, Apr 1, 1983",,Golden State Warriors,108,Utah Jazz,112,Box Score,,9527,,Salt Palace,
"Sat, Apr 2, 1983",,Indiana Pacers,99,Atlanta Hawks,109,Box Score,,4977,,Omni Coliseum,
"Sat, Apr 2, 1983",,San Diego Clippers,99,Denver Nuggets,107,Box Score,,12011,,McNichols Sports Arena,
"Sat, Apr 2, 1983",,Kansas City Kings,122,Golden State Warriors,112,Box Score,,5232,,Oakland-Alameda County Coliseum Arena,
"Sat, Apr 2, 1983",,San Antonio Spurs,112,Houston Rockets,101,Box Score,,6121,,The Summit,
"Sat, Apr 2, 1983",,New York Knicks,108,Phoenix Suns,115,Box Score,,12643,,Arizona Veterans Memorial Coliseum,
"Sat, Apr 2, 1983",,Dallas Mavericks,98,Portland Trail Blazers,110,Box Score,,12666,,Memorial Coliseum,
"Sat, Apr 2, 1983",,Boston Celtics,120,Washington Bullets,117,Box Score,OT,10138,2:34,Capital Centre,
"Sat, Apr 2, 1983",7:40p,Milwaukee Bucks,105,New Jersey Nets,103,Box Score,,14187,2:11,Brendan Byrne Arena,
"Sun, Apr 3, 1983",,Philadelphia 76ers,96,Cleveland Cavaliers,84,Box Score,,7622,2:01,Coliseum at Richfield,
"Sun, Apr 3, 1983",,Chicago Bulls,107,Detroit Pistons,122,Box Score,,4428,,Pontiac Silverdome,
"Mon, Apr 4, 1983",,Los Angeles Lakers,111,Seattle SuperSonics,121,Box Score,,18045,,Seattle Kingdome,
"Tue, Apr 5, 1983",,Boston Celtics,117,Atlanta Hawks,95,Box Score,,7760,1:46,Omni Coliseum,
"Tue, Apr 5, 1983",,Cleveland Cavaliers,101,Chicago Bulls,91,Box Score,,4612,,Chicago Stadium,
"Tue, Apr 5, 1983",,Philadelphia 76ers,116,Milwaukee Bucks,108,Box Score,,11052,2:16,MECCA Arena,
"Tue, Apr 5, 1983",,Detroit Pistons,107,New York Knicks,110,Box Score,OT,8781,,Madison Square Garden (IV),
"Tue, Apr 5, 1983",,Golden State Warriors,106,Phoenix Suns,126,Box Score,,9033,,Arizona Veterans Memorial Coliseum,
"Tue, Apr 5, 1983",,Los Angeles Lakers,101,Portland Trail Blazers,107,Box Score,,12666,,Memorial Coliseum,
"Tue, Apr 5, 1983",,Kansas City Kings,113,San Antonio Spurs,130,Box Score,,7887,,HemisFair Arena,
"Tue, Apr 5, 1983",,Seattle SuperSonics,115,San Diego Clippers,109,Box Score,2OT,4228,,San Diego Sports Arena,
"Tue, Apr 5, 1983",,Houston Rockets,97,Utah Jazz,126,Box Score,,8157,,Salt Palace,
"Tue, Apr 5, 1983",,New Jersey Nets,89,Washington Bullets,95,Box Score,,7162,,Capital Centre,
"Wed, Apr 6, 1983",,New York Knicks,98,Boston Celtics,102,Box Score,,15320,2:17,Boston Garden,
"Wed, Apr 6, 1983",,Houston Rockets,101,Dallas Mavericks,99,Box Score,,8485,,Reunion Arena,
"Wed, Apr 6, 1983",,Washington Bullets,96,Detroit Pistons,107,Box Score,,5153,,Pontiac Silverdome,
"Wed, Apr 6, 1983",,Denver Nuggets,113,Kansas City Kings,130,Box Score,,7130,,Kemper Arena,
"Wed, Apr 6, 1983",,San Antonio Spurs,112,Philadelphia 76ers,109,Box Score,,13706,2:10,The Spectrum,
"Wed, Apr 6, 1983",7:42p,Indiana Pacers,110,New Jersey Nets,121,Box Score,,9160,2:02,Brendan Byrne Arena,
"Thu, Apr 7, 1983",,Milwaukee Bucks,100,Cleveland Cavaliers,87,Box Score,,2441,,Coliseum at Richfield,
"Thu, Apr 7, 1983",,Portland Trail Blazers,107,Golden State Warriors,118,Box Score,,4129,,Oakland-Alameda County Coliseum Arena,
"Thu, Apr 7, 1983",,Los Angeles Lakers,117,Phoenix Suns,108,Box Score,,14660,,Arizona Veterans Memorial Coliseum,
"Thu, Apr 7, 1983",,San Diego Clippers,96,Seattle SuperSonics,102,Box Score,,9601,,Seattle Kingdome,
"Fri, Apr 8, 1983",,Chicago Bulls,101,Atlanta Hawks,138,Box Score,,6373,,Omni Coliseum,
"Fri, Apr 8, 1983",,Washington Bullets,107,Boston Celtics,99,Box Score,,15320,2:08,Boston Garden,
"Fri, Apr 8, 1983",,Denver Nuggets,132,Dallas Mavericks,115,Box Score,,10878,,Reunion Arena,
"Fri, Apr 8, 1983",,New Jersey Nets,92,Detroit Pistons,102,Box Score,,8779,,Pontiac Silverdome,
"Fri, Apr 8, 1983",,Utah Jazz,97,Kansas City Kings,112,Box Score,,8664,,Kemper Arena,
"Fri, Apr 8, 1983",,Golden State Warriors,107,Los Angeles Lakers,118,Box Score,,15176,,The Forum,
"Fri, Apr 8, 1983",,San Antonio Spurs,100,New York Knicks,102,Box Score,OT,10975,,Madison Square Garden (IV),
"Fri, Apr 8, 1983",,Indiana Pacers,118,Philadelphia 76ers,126,Box Score,OT,17072,2:19,The Spectrum,
"Fri, Apr 8, 1983",,Phoenix Suns,99,Portland Trail Blazers,98,Box Score,,11911,,Memorial Coliseum,
"Sat, Apr 9, 1983",,Milwaukee Bucks,115,Chicago Bulls,104,Box Score,,4924,,Chicago Stadium,
"Sat, Apr 9, 1983",,Denver Nuggets,123,Houston Rockets,105,Box Score,,6237,,The Summit,
"Sat, Apr 9, 1983",,Dallas Mavericks,122,San Antonio Spurs,111,Box Score,,,,HemisFair Arena,
"Sat, Apr 9, 1983",,Kansas City Kings,108,Utah Jazz,102,Box Score,,8968,,Salt Palace,
"Sat, Apr 9, 1983",,Atlanta Hawks,78,Washington Bullets,100,Box Score,,14281,,Capital Centre,
"Sat, Apr 9, 1983",7:42p,Cleveland Cavaliers,105,New Jersey Nets,115,Box Score,,9610,2:00,Brendan Byrne Arena,
"Sun, Apr 10, 1983",,Detroit Pistons,113,Boston Celtics,115,Box Score,,15320,2:01,Boston Garden,
"Sun, Apr 10, 1983",,Indiana Pacers,105,Cleveland Cavaliers,110,Box Score,,2039,,Coliseum at Richfield,
"Sun, Apr 10, 1983",,San Diego Clippers,93,Golden State Warriors,102,Box Score,,3474,,Oakland-Alameda County Coliseum Arena,
"Sun, Apr 10, 1983",,Phoenix Suns,101,Los Angeles Lakers,95,Box Score,,16545,,The Forum,
"Sun, Apr 10, 1983",,Chicago Bulls,91,Milwaukee Bucks,121,Box Score,,10185,,MECCA Arena,
"Sun, Apr 10, 1983",,New York Knicks,97,Philadelphia 76ers,113,Box Score,,17112,2:05,The Spectrum,
"Sun, Apr 10, 1983",,Seattle SuperSonics,102,Portland Trail Blazers,93,Box Score,,12666,,Memorial Coliseum,
"Mon, Apr 11, 1983",,Indiana Pacers,92,New York Knicks,121,Box Score,,7227,,Madison Square Garden (IV),
"Tue, Apr 12, 1983",,Philadelphia 76ers,97,Atlanta Hawks,102,Box Score,,9303,2:20,Omni Coliseum,
"Tue, Apr 12, 1983",,Kansas City Kings,112,Chicago Bulls,102,Box Score,,3936,,Chicago Stadium,
"Tue, Apr 12, 1983",,Phoenix Suns,115,Golden State Warriors,108,Box Score,,3632,,Oakland-Alameda County Coliseum Arena,
"Tue, Apr 12, 1983",,Los Angeles Lakers,114,Houston Rockets,113,Box Score,,8147,,The Summit,
