Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Tue, Dec 2, 1958",Philadelphia Warriors,91,Detroit Pistons,95,Box Score,,,,Detroit Olympia,
"Tue, Dec 2, 1958",St. Louis Hawks,105,Cincinnati Royals,81,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Dec 2, 1958",Boston Celtics,109,New York Knicks,90,Box Score,,14250.0,,Madison Square Garden (III),
"Wed, Dec 3, 1958",St. Louis Hawks,119,Boston Celtics,110,Box Score,,5180.0,,Boston Garden,
"Wed, Dec 3, 1958",New York Knicks,108,Cincinnati Royals,110,Box Score,,,,Cincinnati Gardens,
"Thu, Dec 4, 1958",Syracuse Nationals,114,Boston Celtics,116,Box Score,,4224.0,,Convention Hall,"at Philadelphia, PA"
"Thu, Dec 4, 1958",St. Louis Hawks,107,Philadelphia Warriors,92,Box Score,,,,Convention Hall,
"Fri, Dec 5, 1958",New York Knicks,110,Detroit Pistons,108,Box Score,,,,Detroit Olympia,
"Sat, Dec 6, 1958",Syracuse Nationals,101,Boston Celtics,92,Box Score,,5839.0,,Boston Garden,
"Sat, Dec 6, 1958",Minneapolis Lakers,128,Cincinnati Royals,132,Box Score,3OT,,,Kiel Auditorium,"at St. Louis, MO"
"Sat, Dec 6, 1958",Detroit Pistons,99,New York Knicks,92,Box Score,,,,Madison Square Garden (III),
"Sat, Dec 6, 1958",Philadelphia Warriors,97,St. Louis Hawks,107,Box Score,,,,Kiel Auditorium,
"Sun, Dec 7, 1958",Philadelphia Warriors,103,Cincinnati Royals,90,Box Score,,,,Cincinnati Gardens,
"Sun, Dec 7, 1958",Boston Celtics,104,Syracuse Nationals,108,Box Score,,3110.0,,Onondaga War Memorial,
"Tue, Dec 9, 1958",Minneapolis Lakers,97,New York Knicks,110,Box Score,,,,Madison Square Garden (III),
"Tue, Dec 9, 1958",Syracuse Nationals,106,Philadelphia Warriors,90,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Wed, Dec 10, 1958",Philadelphia Warriors,97,Boston Celtics,100,Box Score,,4032.0,,Boston Garden,
"Wed, Dec 10, 1958",St. Louis Hawks,82,Detroit Pistons,89,Box Score,,,,Boston Garden,"at Boston, MA"
"Wed, Dec 10, 1958",Syracuse Nationals,97,Cincinnati Royals,94,Box Score,,,,Cincinnati Gardens,
"Thu, Dec 11, 1958",St. Louis Hawks,101,Detroit Pistons,107,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Thu, Dec 11, 1958",Syracuse Nationals,101,Minneapolis Lakers,99,Box Score,OT,,,Minneapolis Auditorium,
"Thu, Dec 11, 1958",Boston Celtics,123,Philadelphia Warriors,114,Box Score,,4164.0,,Convention Hall,
"Fri, Dec 12, 1958",Cincinnati Royals,115,Boston Celtics,125,Box Score,OT,6873.0,,Boston Garden,
"Fri, Dec 12, 1958",Philadelphia Warriors,95,Detroit Pistons,97,Box Score,,,,Detroit Olympia,
"Fri, Dec 12, 1958",St. Louis Hawks,104,New York Knicks,106,Box Score,,,,Madison Square Garden (III),
"Sat, Dec 13, 1958",New York Knicks,94,St. Louis Hawks,108,Box Score,,,,Kiel Auditorium,
"Sat, Dec 13, 1958",Philadelphia Warriors,100,Syracuse Nationals,115,Box Score,,,,Onondaga War Memorial,
"Sun, Dec 14, 1958",Syracuse Nationals,101,Detroit Pistons,95,Box Score,,,,Detroit Olympia,
"Sun, Dec 14, 1958",New York Knicks,100,Minneapolis Lakers,99,Box Score,,,,Minneapolis Auditorium,
"Tue, Dec 16, 1958",Syracuse Nationals,104,Boston Celtics,108,Box Score,,9850.0,,Madison Square Garden (III),"at New York, NY"
"Tue, Dec 16, 1958",Cincinnati Royals,106,New York Knicks,118,Box Score,,,,Madison Square Garden (III),
"Wed, Dec 17, 1958",Boston Celtics,102,Detroit Pistons,95,Box Score,,5758.0,,Detroit Olympia,
"Wed, Dec 17, 1958",St. Louis Hawks,136,New York Knicks,122,Box Score,,,,Detroit Olympia,"at Detroit, MI"
"Thu, Dec 18, 1958",Boston Celtics,104,Cincinnati Royals,90,Box Score,,1227.0,,Cincinnati Gardens,
"Thu, Dec 18, 1958",Detroit Pistons,104,Minneapolis Lakers,113,Box Score,,,,Minneapolis Auditorium,
"Sat, Dec 20, 1958",New York Knicks,106,Boston Celtics,135,Box Score,,6540.0,,Boston Garden,
"Sat, Dec 20, 1958",St. Louis Hawks,111,Detroit Pistons,104,Box Score,,,,Detroit Olympia,
"Sat, Dec 20, 1958",Philadelphia Warriors,88,Minneapolis Lakers,99,Box Score,,,,Minneapolis Auditorium,
"Sat, Dec 20, 1958",Cincinnati Royals,121,Syracuse Nationals,120,Box Score,OT,,,Onondaga War Memorial,
"Sun, Dec 21, 1958",Syracuse Nationals,94,New York Knicks,108,Box Score,,,,Madison Square Garden (III),
"Sun, Dec 21, 1958",Philadelphia Warriors,86,St. Louis Hawks,98,Box Score,,,,Kiel Auditorium,
"Thu, Dec 25, 1958",St. Louis Hawks,100,Cincinnati Royals,92,Box Score,,,,Cincinnati Gardens,
"Thu, Dec 25, 1958",Minneapolis Lakers,97,Detroit Pistons,98,Box Score,OT,,,Madison Square Garden (III),"at New York, NY"
"Thu, Dec 25, 1958",Boston Celtics,129,New York Knicks,120,Box Score,,18386.0,,Madison Square Garden (III),
"Fri, Dec 26, 1958",Minneapolis Lakers,99,Boston Celtics,107,Box Score,,7484.0,,Detroit Olympia,"at Detroit, MI"
"Fri, Dec 26, 1958",Philadelphia Warriors,106,New York Knicks,93,Box Score,,,,Hershey Sports Arena,"at Hershey, PA"
"Fri, Dec 26, 1958",Cincinnati Royals,91,Detroit Pistons,131,Box Score,,,,Detroit Olympia,
"Sat, Dec 27, 1958",Boston Celtics,112,Minneapolis Lakers,94,Box Score,,8154.0,,Minneapolis Auditorium,
"Sat, Dec 27, 1958",St. Louis Hawks,108,Philadelphia Warriors,114,Box Score,OT,,,Convention Hall,
"Sat, Dec 27, 1958",New York Knicks,106,Syracuse Nationals,102,Box Score,,,,Onondaga War Memorial,
"Sun, Dec 28, 1958",Minneapolis Lakers,116,Cincinnati Royals,120,Box Score,,,,Cincinnati Gardens,
"Mon, Dec 29, 1958",Syracuse Nationals,105,Boston Celtics,107,Box Score,,13909.0,,Boston Garden,
"Mon, Dec 29, 1958",Philadelphia Warriors,95,Minneapolis Lakers,93,Box Score,,,,Kiel Auditorium,"at St. Louis, MO"
"Mon, Dec 29, 1958",Cincinnati Royals,112,St. Louis Hawks,124,Box Score,,,,Kiel Auditorium,
"Tue, Dec 30, 1958",St. Louis Hawks,119,Cincinnati Royals,104,Box Score,,,,Cincinnati Gardens,
"Tue, Dec 30, 1958",Syracuse Nationals,113,Minneapolis Lakers,118,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Tue, Dec 30, 1958",Detroit Pistons,90,New York Knicks,93,Box Score,,,,Madison Square Garden (III),
"Tue, Dec 30, 1958",Boston Celtics,105,Philadelphia Warriors,112,Box Score,,7822.0,,Convention Hall,
