Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Tue, Dec 2, 1975",,New Orleans Jazz,108,Buffalo Braves,96,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Dec 2, 1975",,Houston Rockets,91,Chicago Bulls,77,Box Score,,,,Chicago Stadium,
"Tue, Dec 2, 1975",,Portland Trail Blazers,80,Cleveland Cavaliers,91,Box Score,,,,Coliseum at Richfield,
"Tue, Dec 2, 1975",,Seattle SuperSonics,101,Kansas City Kings,90,Box Score,,,,Kemper Arena,
"Tue, Dec 2, 1975",,Boston Celtics,103,New York Knicks,100,Box Score,,19694.0,,Madison Square Garden (IV),
"Tue, Dec 2, 1975",,Golden State Warriors,98,Phoenix Suns,115,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Tue, Dec 2, 1975",,Los Angeles Lakers,104,Washington Bullets,107,Box Score,,,,Capital Centre,
"Wed, Dec 3, 1975",,Chicago Bulls,109,Boston Celtics,106,Box Score,,8326.0,,Boston Garden,
"Wed, Dec 3, 1975",,Los Angeles Lakers,118,Detroit Pistons,110,Box Score,,,,Cobo Arena,
"Wed, Dec 3, 1975",,Seattle SuperSonics,101,Houston Rockets,107,Box Score,,,,The Summit,
"Wed, Dec 3, 1975",,Portland Trail Blazers,92,Milwaukee Bucks,114,Box Score,,,,MECCA Arena,
"Wed, Dec 3, 1975",,New Orleans Jazz,94,Philadelphia 76ers,102,Box Score,,,,The Spectrum,
"Thu, Dec 4, 1975",,Portland Trail Blazers,87,Atlanta Hawks,94,Box Score,,,,Omni Coliseum,
"Thu, Dec 4, 1975",,Cleveland Cavaliers,101,Kansas City Kings,105,Box Score,,,,Kemper Arena,
"Fri, Dec 5, 1975",,New Orleans Jazz,93,Boston Celtics,104,Box Score,,15320.0,,Boston Garden,
"Fri, Dec 5, 1975",,Cleveland Cavaliers,88,Buffalo Braves,125,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Dec 5, 1975",,Houston Rockets,91,Detroit Pistons,102,Box Score,,,,Cobo Arena,
"Fri, Dec 5, 1975",,Kansas City Kings,95,Milwaukee Bucks,103,Box Score,,,,MECCA Arena,
"Fri, Dec 5, 1975",,New York Knicks,97,Philadelphia 76ers,99,Box Score,,,,The Spectrum,
