Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Fri, Feb 1, 1963",St. Louis Hawks,119,Chicago Zephyrs,111,Box Score,,,,Onondaga War Memorial,
"Fri, Feb 1, 1963",Syracuse Nationals,125,Boston Celtics,111,Box Score,,12413.0,,Boston Garden,
"Fri, Feb 1, 1963",Los Angeles Lakers,119,Detroit Pistons,109,Box Score,,,,Cobo Arena,
"Fri, Feb 1, 1963",San Francisco Warriors,133,Cincinnati Royals,126,Box Score,,,,Boston Garden,"at Boston, MA"
"Sat, Feb 2, 1963",Syracuse Nationals,117,Cincinnati Royals,113,Box Score,,,,Cincinnati Gardens,"at Rochester, NY"
"Sat, Feb 2, 1963",Los Angeles Lakers,103,St. Louis Hawks,97,Box Score,,,,St. Louis Arena,
"Sun, Feb 3, 1963",Detroit Pistons,128,Boston Celtics,137,Box Score,,7423.0,,Boston Garden,
"Sun, Feb 3, 1963",Los Angeles Lakers,95,New York Knicks,122,Box Score,,,,Madison Square Garden (III),
"Sun, Feb 3, 1963",Chicago Zephyrs,110,San Francisco Warriors,108,Box Score,,,,University of San Francisco,
"Sun, Feb 3, 1963",Cincinnati Royals,125,Syracuse Nationals,115,Box Score,,,,Rochester Community War Memorial,
"Mon, Feb 4, 1963",San Francisco Warriors,109,Chicago Zephyrs,107,Box Score,,,,San Jose Civic Auditorium,"at San Jose, CA"
"Tue, Feb 5, 1963",Boston Celtics,106,Cincinnati Royals,96,Box Score,,6112.0,,Cincinnati Gardens,
"Tue, Feb 5, 1963",St. Louis Hawks,120,Detroit Pistons,105,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 5, 1963",Syracuse Nationals,120,New York Knicks,100,Box Score,,,,Madison Square Garden (III),
"Wed, Feb 6, 1963",San Francisco Warriors,117,Detroit Pistons,116,Box Score,,,,Cobo Arena,
"Wed, Feb 6, 1963",Chicago Zephyrs,105,Los Angeles Lakers,107,Box Score,,,,Los Angeles Memorial Sports Arena,
"Wed, Feb 6, 1963",Boston Celtics,109,Syracuse Nationals,126,Box Score,,4146.0,,Onondaga War Memorial,
"Thu, Feb 7, 1963",San Francisco Warriors,129,Cincinnati Royals,134,Box Score,,,,Cincinnati Gardens,
"Fri, Feb 8, 1963",Cincinnati Royals,116,St. Louis Hawks,112,Box Score,,,,Kiel Auditorium,
"Fri, Feb 8, 1963",Boston Celtics,129,New York Knicks,97,Box Score,,8043.0,,Madison Square Garden (III),
"Fri, Feb 8, 1963",Syracuse Nationals,162,Detroit Pistons,135,Box Score,,,,Cobo Arena,
"Fri, Feb 8, 1963",Chicago Zephyrs,91,Los Angeles Lakers,94,Box Score,,,,Los Angeles Memorial Sports Arena,
"Sat, Feb 9, 1963",San Francisco Warriors,112,Boston Celtics,118,Box Score,,13432.0,,Boston Garden,
"Sat, Feb 9, 1963",Los Angeles Lakers,107,Chicago Zephyrs,106,Box Score,,,,Chicago Coliseum,
"Sat, Feb 9, 1963",Syracuse Nationals,122,New York Knicks,116,Box Score,,,,Madison Square Garden (III),"at Boston, MA"
"Sun, Feb 10, 1963",San Francisco Warriors,115,Syracuse Nationals,139,Box Score,,,,Onondaga War Memorial,
"Sun, Feb 10, 1963",Detroit Pistons,102,St. Louis Hawks,95,Box Score,,,,Kiel Auditorium,
"Sun, Feb 10, 1963",Los Angeles Lakers,107,Cincinnati Royals,124,Box Score,,,,Cincinnati Gardens,
"Sun, Feb 10, 1963",New York Knicks,123,Boston Celtics,129,Box Score,,6071.0,,Boston Garden,
"Tue, Feb 12, 1963",Los Angeles Lakers,93,Boston Celtics,120,Box Score,,11028.0,,Cobo Arena,"at Detroit, MI"
"Tue, Feb 12, 1963",San Francisco Warriors,115,Detroit Pistons,120,Box Score,,,,Cobo Arena,
"Tue, Feb 12, 1963",Syracuse Nationals,100,St. Louis Hawks,128,Box Score,,,,Kiel Auditorium,
"Wed, Feb 13, 1963",Los Angeles Lakers,134,Boston Celtics,128,Box Score,,12686.0,,Boston Garden,
"Wed, Feb 13, 1963",Syracuse Nationals,122,Cincinnati Royals,124,Box Score,,,,Indiana State Fair Coliseum,"at Indianapolis, IN"
"Wed, Feb 13, 1963",St. Louis Hawks,103,New York Knicks,102,Box Score,,,,Madison Square Garden (III),
"Wed, Feb 13, 1963",Detroit Pistons,134,San Francisco Warriors,132,Box Score,OT,,,Cow Palace,
"Thu, Feb 14, 1963",Chicago Zephyrs,117,Syracuse Nationals,136,Box Score,,,,Onondaga War Memorial,
"Thu, Feb 14, 1963",Detroit Pistons,111,Los Angeles Lakers,128,Box Score,,,,Los Angeles Memorial Sports Arena,
"Thu, Feb 14, 1963",St. Louis Hawks,113,New York Knicks,123,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Fri, Feb 15, 1963",Syracuse Nationals,114,Boston Celtics,123,Box Score,,5595.0,,Rhode Island Auditorium,"at Providence, RI"
"Fri, Feb 15, 1963",New York Knicks,135,Chicago Zephyrs,131,Box Score,2OT,,,Chicago Coliseum,
"Fri, Feb 15, 1963",St. Louis Hawks,99,Cincinnati Royals,96,Box Score,,,,Cincinnati Gardens,
"Sat, Feb 16, 1963",Cincinnati Royals,110,Detroit Pistons,99,Box Score,,,,Cobo Arena,
"Sat, Feb 16, 1963",San Francisco Warriors,122,Los Angeles Lakers,118,Box Score,2OT,,,Los Angeles Memorial Sports Arena,
"Sat, Feb 16, 1963",Boston Celtics,114,St. Louis Hawks,94,Box Score,,11006.0,,Kiel Auditorium,
"Sun, Feb 17, 1963",Boston Celtics,110,Chicago Zephyrs,107,Box Score,,2043.0,,Chicago Coliseum,
"Sun, Feb 17, 1963",Cincinnati Royals,109,New York Knicks,98,Box Score,,,,Madison Square Garden (III),
"Sun, Feb 17, 1963",Detroit Pistons,124,Syracuse Nationals,143,Box Score,,,,Onondaga War Memorial,
"Tue, Feb 19, 1963",Cincinnati Royals,126,Boston Celtics,129,Box Score,,12800.0,,Boston Garden,
"Tue, Feb 19, 1963",Syracuse Nationals,118,Chicago Zephyrs,110,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 19, 1963",Detroit Pistons,121,New York Knicks,112,Box Score,,,,Madison Square Garden (III),
"Tue, Feb 19, 1963",Los Angeles Lakers,109,San Francisco Warriors,111,Box Score,,,,Cow Palace,
"Wed, Feb 20, 1963",Boston Celtics,117,Detroit Pistons,113,Box Score,,3201.0,,Cobo Arena,
"Wed, Feb 20, 1963",Cincinnati Royals,109,Syracuse Nationals,128,Box Score,,,,Onondaga War Memorial,
"Thu, Feb 21, 1963",Boston Celtics,135,San Francisco Warriors,118,Box Score,,9132.0,,Cow Palace,
"Thu, Feb 21, 1963",Syracuse Nationals,91,Chicago Zephyrs,108,Box Score,,,,Chicago Coliseum,
"Thu, Feb 21, 1963",New York Knicks,96,Cincinnati Royals,115,Box Score,,,,Cincinnati Gardens,
"Fri, Feb 22, 1963",Syracuse Nationals,117,Detroit Pistons,126,Box Score,,,,Cobo Arena,
"Fri, Feb 22, 1963",Boston Celtics,105,Los Angeles Lakers,113,Box Score,,15196.0,,Los Angeles Memorial Sports Arena,
"Fri, Feb 22, 1963",San Francisco Warriors,93,New York Knicks,106,Box Score,,,,Madison Square Garden (III),
"Fri, Feb 22, 1963",Chicago Zephyrs,98,St. Louis Hawks,115,Box Score,,,,Kiel Auditorium,
"Sat, Feb 23, 1963",San Francisco Warriors,92,Chicago Zephyrs,88,Box Score,,,,Chicago Coliseum,
"Sat, Feb 23, 1963",Detroit Pistons,105,Cincinnati Royals,102,Box Score,,,,Cincinnati Gardens,
"Sun, Feb 24, 1963",San Francisco Warriors,106,St. Louis Hawks,127,Box Score,,,,Kiel Auditorium,
"Sun, Feb 24, 1963",New York Knicks,126,Syracuse Nationals,143,Box Score,,,,Onondaga War Memorial,
"Sun, Feb 24, 1963",Boston Celtics,119,Los Angeles Lakers,109,Box Score,,14828.0,,Los Angeles Memorial Sports Arena,
"Sun, Feb 24, 1963",Detroit Pistons,119,Cincinnati Royals,110,Box Score,,,,Baltimore Civic Center,"at Baltimore, MD"
"Mon, Feb 25, 1963",Los Angeles Lakers,113,Detroit Pistons,107,Box Score,,,,Veterans Memorial Auditorium,"at Des Moines, IA"
"Tue, Feb 26, 1963",Los Angeles Lakers,116,New York Knicks,125,Box Score,,,,Madison Square Garden (III),
"Tue, Feb 26, 1963",Boston Celtics,112,San Francisco Warriors,128,Box Score,,6491.0,,Cow Palace,
"Tue, Feb 26, 1963",Cincinnati Royals,107,St. Louis Hawks,114,Box Score,,,,Kiel Auditorium,
"Wed, Feb 27, 1963",St. Louis Hawks,93,Chicago Zephyrs,98,Box Score,,,,Chicago Coliseum,
"Wed, Feb 27, 1963",New York Knicks,107,Cincinnati Royals,119,Box Score,,,,Cincinnati Gardens,
"Wed, Feb 27, 1963",Los Angeles Lakers,111,Syracuse Nationals,122,Box Score,,,,Onondaga War Memorial,
"Thu, Feb 28, 1963",Chicago Zephyrs,104,Detroit Pistons,112,Box Score,,,,Cobo Arena,
"Thu, Feb 28, 1963",Syracuse Nationals,132,New York Knicks,124,Box Score,,,,Cobo Arena,"at Detroit, MI"
