Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Sun, Feb 1, 1976",,Chicago Bulls,80,Atlanta Hawks,84,Box Score,,,,Omni Coliseum,
"Sun, Feb 1, 1976",,Boston Celtics,114,Detroit Pistons,109,Box Score,,4630.0,,Cobo Arena,
"Sun, Feb 1, 1976",,Washington Bullets,101,Golden State Warriors,99,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sun, Feb 1, 1976",,Philadelphia 76ers,82,Los Angeles Lakers,103,Box Score,,,,The Forum,
"Sun, Feb 1, 1976",,Cleveland Cavaliers,95,New Orleans Jazz,96,Box Score,,,,Louisiana Superdome,
"Sun, Feb 1, 1976",,Milwaukee Bucks,97,Portland Trail Blazers,107,Box Score,,,,Memorial Coliseum,
"Thu, Feb 5, 1976",,Detroit Pistons,111,Atlanta Hawks,108,Box Score,,,,Omni Coliseum,
"Thu, Feb 5, 1976",,New Orleans Jazz,114,Houston Rockets,111,Box Score,,,,The Summit,
"Thu, Feb 5, 1976",,Los Angeles Lakers,109,Kansas City Kings,117,Box Score,,,,Kemper Arena,
"Fri, Feb 6, 1976",,Milwaukee Bucks,104,Buffalo Braves,109,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Feb 6, 1976",,Los Angeles Lakers,106,Chicago Bulls,112,Box Score,,,,Chicago Stadium,
"Fri, Feb 6, 1976",,Kansas City Kings,101,New Orleans Jazz,108,Box Score,,,,Louisiana Superdome,
"Fri, Feb 6, 1976",,Cleveland Cavaliers,92,Philadelphia 76ers,87,Box Score,,,,The Spectrum,
"Fri, Feb 6, 1976",,Golden State Warriors,111,Phoenix Suns,118,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Feb 6, 1976",,Portland Trail Blazers,109,Seattle SuperSonics,100,Box Score,,,,Seattle Center Coliseum,
"Sat, Feb 7, 1976",,Washington Bullets,103,Atlanta Hawks,90,Box Score,,,,Omni Coliseum,
"Sat, Feb 7, 1976",,Milwaukee Bucks,114,Detroit Pistons,106,Box Score,,,,Cobo Arena,
"Sat, Feb 7, 1976",,Seattle SuperSonics,100,Golden State Warriors,127,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Feb 7, 1976",,Chicago Bulls,87,Houston Rockets,89,Box Score,,,,The Summit,
"Sat, Feb 7, 1976",,Boston Celtics,106,New York Knicks,98,Box Score,,19694.0,,Madison Square Garden (IV),
"Sun, Feb 8, 1976",,Los Angeles Lakers,97,Atlanta Hawks,89,Box Score,,,,Omni Coliseum,
"Sun, Feb 8, 1976",,New York Knicks,97,Boston Celtics,89,Box Score,,15320.0,,Boston Garden,
"Sun, Feb 8, 1976",,Washington Bullets,78,Cleveland Cavaliers,83,Box Score,,,,Coliseum at Richfield,
"Sun, Feb 8, 1976",,Detroit Pistons,94,Kansas City Kings,93,Box Score,,,,Kemper Arena,
"Sun, Feb 8, 1976",,Chicago Bulls,96,New Orleans Jazz,92,Box Score,,,,Louisiana Superdome,
"Sun, Feb 8, 1976",,Buffalo Braves,97,Philadelphia 76ers,100,Box Score,,,,The Spectrum,
"Sun, Feb 8, 1976",,Golden State Warriors,109,Portland Trail Blazers,105,Box Score,,,,Memorial Coliseum,
"Sun, Feb 8, 1976",,Phoenix Suns,107,Seattle SuperSonics,101,Box Score,OT,,,Seattle Center Coliseum,
"Mon, Feb 9, 1976",,Kansas City Kings,86,Houston Rockets,105,Box Score,,,,The Summit,
"Tue, Feb 10, 1976",,Kansas City Kings,89,Atlanta Hawks,111,Box Score,,,,Omni Coliseum,
"Tue, Feb 10, 1976",,Washington Bullets,105,Buffalo Braves,115,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Feb 10, 1976",,Philadelphia 76ers,85,Chicago Bulls,84,Box Score,,,,Chicago Stadium,
"Tue, Feb 10, 1976",,New Orleans Jazz,130,Golden State Warriors,124,Box Score,OT,,,Oakland-Alameda County Coliseum Arena,
"Tue, Feb 10, 1976",,Detroit Pistons,88,Los Angeles Lakers,106,Box Score,,,,The Forum,
"Tue, Feb 10, 1976",,New York Knicks,104,Milwaukee Bucks,97,Box Score,,,,MECCA Arena,
"Wed, Feb 11, 1976",,Boston Celtics,103,Houston Rockets,115,Box Score,,9443.0,,The Summit,
"Wed, Feb 11, 1976",,Milwaukee Bucks,109,New York Knicks,95,Box Score,,,,Madison Square Garden (IV),
"Wed, Feb 11, 1976",,Portland Trail Blazers,106,Philadelphia 76ers,118,Box Score,,,,The Spectrum,
"Wed, Feb 11, 1976",,Detroit Pistons,94,Phoenix Suns,123,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Wed, Feb 11, 1976",,New Orleans Jazz,90,Seattle SuperSonics,93,Box Score,,,,Seattle Center Coliseum,
"Thu, Feb 12, 1976",,Chicago Bulls,83,Cleveland Cavaliers,86,Box Score,,,,Coliseum at Richfield,
"Thu, Feb 12, 1976",,Atlanta Hawks,104,Golden State Warriors,113,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Thu, Feb 12, 1976",,Portland Trail Blazers,81,Washington Bullets,92,Box Score,,,,Capital Centre,
"Fri, Feb 13, 1976",,Buffalo Braves,101,Kansas City Kings,96,Box Score,,,,Kemper Arena,
"Fri, Feb 13, 1976",,New Orleans Jazz,112,Los Angeles Lakers,126,Box Score,,,,The Forum,
"Fri, Feb 13, 1976",,Cleveland Cavaliers,101,Milwaukee Bucks,96,Box Score,,,,MECCA Arena,
"Fri, Feb 13, 1976",,Houston Rockets,109,Philadelphia 76ers,134,Box Score,,,,The Spectrum,
"Fri, Feb 13, 1976",,Boston Celtics,109,Phoenix Suns,108,Box Score,,8130.0,,Arizona Veterans Memorial Coliseum,
"Fri, Feb 13, 1976",,Atlanta Hawks,102,Seattle SuperSonics,119,Box Score,,,,Seattle Center Coliseum,
"Sat, Feb 14, 1976",,Cleveland Cavaliers,114,Buffalo Braves,111,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Feb 14, 1976",,Milwaukee Bucks,95,Chicago Bulls,89,Box Score,,,,Chicago Stadium,
"Sat, Feb 14, 1976",,Detroit Pistons,105,Golden State Warriors,106,Box Score,OT,,,Oakland-Alameda County Coliseum Arena,
"Sat, Feb 14, 1976",,Philadelphia 76ers,97,New York Knicks,101,Box Score,OT,,,Madison Square Garden (IV),
"Sat, Feb 14, 1976",,New Orleans Jazz,93,Phoenix Suns,112,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Feb 14, 1976",,Seattle SuperSonics,122,Portland Trail Blazers,108,Box Score,,,,Memorial Coliseum,
"Sat, Feb 14, 1976",,Houston Rockets,89,Washington Bullets,108,Box Score,,,,Capital Centre,
"Sun, Feb 15, 1976",,Buffalo Braves,104,Atlanta Hawks,112,Box Score,,,,Omni Coliseum,
"Sun, Feb 15, 1976",,Houston Rockets,105,Milwaukee Bucks,113,Box Score,,,,MECCA Arena,
"Sun, Feb 15, 1976",,New York Knicks,88,Philadelphia 76ers,82,Box Score,,,,The Spectrum,
"Sun, Feb 15, 1976",,Boston Celtics,105,Portland Trail Blazers,109,Box Score,,11528.0,,Memorial Coliseum,
"Sun, Feb 15, 1976",,Detroit Pistons,107,Seattle SuperSonics,109,Box Score,,,,Seattle Center Coliseum,
"Sun, Feb 15, 1976",,Los Angeles Lakers,88,Washington Bullets,101,Box Score,,,,Capital Centre,
"Tue, Feb 17, 1976",,Portland Trail Blazers,113,Buffalo Braves,116,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Feb 17, 1976",,Phoenix Suns,111,Chicago Bulls,114,Box Score,OT,,,Chicago Stadium,
"Tue, Feb 17, 1976",,Atlanta Hawks,92,Cleveland Cavaliers,112,Box Score,,,,Coliseum at Richfield,
"Tue, Feb 17, 1976",,Philadelphia 76ers,107,Kansas City Kings,125,Box Score,,,,Kemper Arena,
"Tue, Feb 17, 1976",,Washington Bullets,113,Milwaukee Bucks,112,Box Score,,,,MECCA Arena,
"Tue, Feb 17, 1976",,Los Angeles Lakers,115,New Orleans Jazz,101,Box Score,,,,Louisiana Superdome,
"Tue, Feb 17, 1976",,Golden State Warriors,104,New York Knicks,96,Box Score,,,,Madison Square Garden (IV),
"Wed, Feb 18, 1976",,Phoenix Suns,94,Detroit Pistons,105,Box Score,,,,Cobo Arena,
"Wed, Feb 18, 1976",,Los Angeles Lakers,98,Houston Rockets,114,Box Score,,,,The Summit,
"Wed, Feb 18, 1976",,Golden State Warriors,91,Kansas City Kings,103,Box Score,,,,Kemper Arena,
"Wed, Feb 18, 1976",,Boston Celtics,99,Seattle SuperSonics,124,Box Score,,14096.0,,Seattle Center Coliseum,
"Thu, Feb 19, 1976",,Portland Trail Blazers,94,Cleveland Cavaliers,112,Box Score,,,,Coliseum at Richfield,
