Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Jan 1, 1966",Cincinnati Royals,122,New York Knicks,147,Box Score,,,,Madison Square Garden (III),
"Sat, Jan 1, 1966",Detroit Pistons,112,Baltimore Bullets,116,Box Score,,,,Baltimore Civic Center,
"Sat, Jan 1, 1966",Boston Celtics,98,St. Louis Hawks,100,Box Score,,5318.0,,Kiel Auditorium,
"Sun, Jan 2, 1966",Baltimore Bullets,107,Cincinnati Royals,138,Box Score,,,,Cincinnati Gardens,
"Sun, Jan 2, 1966",San Francisco Warriors,136,Detroit Pistons,113,Box Score,,,,Miami Beach Auditorium,"at Miami, FL"
"Sun, Jan 2, 1966",Boston Celtics,124,Los Angeles Lakers,113,Box Score,,12279.0,,Los Angeles Memorial Sports Arena,
"Sun, Jan 2, 1966",New York Knicks,122,Philadelphia 76ers,133,Box Score,,,,Convention Hall,
"Mon, Jan 3, 1966",St. Louis Hawks,114,Cincinnati Royals,130,Box Score,,,,Mid-South Coliseum,"at Memphis, TN"
"Tue, Jan 4, 1966",San Francisco Warriors,122,Baltimore Bullets,111,Box Score,,,,Baltimore Civic Center,"at New York, NY"
"Tue, Jan 4, 1966",Philadelphia 76ers,129,New York Knicks,127,Box Score,,,,Madison Square Garden (III),
"Wed, Jan 5, 1966",Detroit Pistons,103,Cincinnati Royals,117,Box Score,,,,University of Dayton Fieldhouse,"at Dayton, OH"
"Wed, Jan 5, 1966",San Francisco Warriors,118,New York Knicks,117,Box Score,,,,Baltimore Civic Center,"at Baltimore, MD"
"Wed, Jan 5, 1966",Boston Celtics,113,Los Angeles Lakers,120,Box Score,,12967.0,,Los Angeles Memorial Sports Arena,
"Wed, Jan 5, 1966",St. Louis Hawks,101,Baltimore Bullets,114,Box Score,,,,Baltimore Civic Center,
"Thu, Jan 6, 1966",Philadelphia 76ers,133,Baltimore Bullets,127,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Thu, Jan 6, 1966",Detroit Pistons,97,Cincinnati Royals,109,Box Score,,,,Sports Arena,"at Toledo, OH"
"Fri, Jan 7, 1966",St. Louis Hawks,97,Detroit Pistons,137,Box Score,,,,Cobo Arena,
"Fri, Jan 7, 1966",Los Angeles Lakers,126,Philadelphia 76ers,120,Box Score,,,,Convention Hall,
"Fri, Jan 7, 1966",Boston Celtics,115,San Francisco Warriors,114,Box Score,,7134.0,,San Francisco Civic Auditorium,
"Sat, Jan 8, 1966",Cincinnati Royals,126,Baltimore Bullets,115,Box Score,,,,Baltimore Civic Center,
"Sat, Jan 8, 1966",Philadelphia 76ers,105,St. Louis Hawks,115,Box Score,,,,Kiel Auditorium,
"Sat, Jan 8, 1966",Boston Celtics,124,San Francisco Warriors,96,Box Score,,7023.0,,San Francisco Civic Auditorium,
"Sat, Jan 8, 1966",Los Angeles Lakers,127,New York Knicks,133,Box Score,,,,Madison Square Garden (III),
"Sun, Jan 9, 1966",New York Knicks,124,Baltimore Bullets,130,Box Score,,,,Baltimore Civic Center,
"Sun, Jan 9, 1966",Los Angeles Lakers,111,Detroit Pistons,98,Box Score,,,,Cobo Arena,
"Sun, Jan 9, 1966",Philadelphia 76ers,127,St. Louis Hawks,117,Box Score,,,,Kiel Auditorium,
"Wed, Jan 12, 1966",Los Angeles Lakers,102,Boston Celtics,114,Box Score,,6197.0,,Boston Garden,
"Wed, Jan 12, 1966",Philadelphia 76ers,111,Detroit Pistons,129,Box Score,,,,Cobo Arena,
"Wed, Jan 12, 1966",New York Knicks,114,San Francisco Warriors,122,Box Score,,,,San Francisco Civic Auditorium,
"Thu, Jan 13, 1966",St. Louis Hawks,102,Cincinnati Royals,107,Box Score,,,,Indiana State Fair Coliseum,"at Indianapolis, IN"
"Fri, Jan 14, 1966",Boston Celtics,100,Philadelphia 76ers,112,Box Score,,6830.0,,Convention Hall,
"Fri, Jan 14, 1966",Los Angeles Lakers,118,San Francisco Warriors,110,Box Score,,,,San Francisco Civic Auditorium,
"Fri, Jan 14, 1966",Baltimore Bullets,121,St. Louis Hawks,119,Box Score,,,,Kiel Auditorium,
"Sat, Jan 15, 1966",Baltimore Bullets,117,Detroit Pistons,122,Box Score,,,,Cobo Arena,
"Sat, Jan 15, 1966",New York Knicks,123,Los Angeles Lakers,152,Box Score,,,,Los Angeles Memorial Sports Arena,
"Sun, Jan 16, 1966",Baltimore Bullets,128,St. Louis Hawks,136,Box Score,,,,Kiel Auditorium,
"Sun, Jan 16, 1966",Philadelphia 76ers,122,Boston Celtics,137,Box Score,,10087.0,,Boston Garden,
"Sun, Jan 16, 1966",Detroit Pistons,106,Cincinnati Royals,108,Box Score,,,,Cincinnati Gardens,
