Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Sat, Jan 1, 1983",,Phoenix Suns,125,Denver Nuggets,127,Box Score,,7814.0,,McNichols Sports Arena,
"Sat, Jan 1, 1983",,Washington Bullets,77,New York Knicks,98,Box Score,,7317.0,,Madison Square Garden (IV),
"Sat, Jan 1, 1983",,Golden State Warriors,74,Portland Trail Blazers,102,Box Score,,12666.0,,Memorial Coliseum,
"Sat, Jan 1, 1983",,Detroit Pistons,117,San Diego Clippers,105,Box Score,,3068.0,,San Diego Sports Arena,
"Sat, Jan 1, 1983",,Boston Celtics,127,Utah Jazz,112,Box Score,,12491.0,2:05,Salt Palace,
"Sat, Jan 1, 1983",7:40p,Dallas Mavericks,105,New Jersey Nets,111,Box Score,,10157.0,2:00,Brendan Byrne Arena,
"Sun, Jan 2, 1983",,Kansas City Kings,108,Atlanta Hawks,104,Box Score,,4558.0,,Omni Coliseum,
"Sun, Jan 2, 1983",,San Antonio Spurs,103,Cleveland Cavaliers,95,Box Score,,3010.0,,Coliseum at Richfield,
"Sun, Jan 2, 1983",,Indiana Pacers,105,Golden State Warriors,114,Box Score,,5192.0,,Oakland-Alameda County Coliseum Arena,
"Sun, Jan 2, 1983",,Detroit Pistons,112,Los Angeles Lakers,127,Box Score,,15343.0,,The Forum,
"Sun, Jan 2, 1983",,Houston Rockets,82,Milwaukee Bucks,103,Box Score,,10039.0,,MECCA Arena,
"Sun, Jan 2, 1983",,Seattle SuperSonics,99,Phoenix Suns,116,Box Score,,11318.0,,Arizona Veterans Memorial Coliseum,
"Sun, Jan 2, 1983",,Denver Nuggets,104,Portland Trail Blazers,122,Box Score,,12666.0,,Memorial Coliseum,
"Tue, Jan 4, 1983",,San Antonio Spurs,104,Atlanta Hawks,95,Box Score,,5139.0,,Omni Coliseum,
"Tue, Jan 4, 1983",,Detroit Pistons,138,Chicago Bulls,147,Box Score,2OT,6472.0,,Chicago Stadium,
"Tue, Jan 4, 1983",,Kansas City Kings,121,Denver Nuggets,137,Box Score,,7989.0,,McNichols Sports Arena,
"Tue, Jan 4, 1983",,Utah Jazz,100,Golden State Warriors,88,Box Score,,5403.0,,Oakland-Alameda County Coliseum Arena,
"Tue, Jan 4, 1983",,Boston Celtics,88,Houston Rockets,87,Box Score,,9728.0,2:06,The Summit,
"Tue, Jan 4, 1983",,New Jersey Nets,102,Milwaukee Bucks,95,Box Score,,9950.0,,MECCA Arena,
"Tue, Jan 4, 1983",,Phoenix Suns,97,New York Knicks,85,Box Score,,7766.0,,Madison Square Garden (IV),
"Tue, Jan 4, 1983",,Indiana Pacers,117,Portland Trail Blazers,119,Box Score,,12666.0,,Memorial Coliseum,
"Tue, Jan 4, 1983",,Dallas Mavericks,84,Washington Bullets,92,Box Score,,6648.0,,Capital Centre,
"Wed, Jan 5, 1983",,San Antonio Spurs,131,Dallas Mavericks,136,Box Score,,10008.0,,Reunion Arena,
"Wed, Jan 5, 1983",,Cleveland Cavaliers,116,Detroit Pistons,130,Box Score,,5074.0,,Pontiac Silverdome,
"Wed, Jan 5, 1983",,Denver Nuggets,118,Kansas City Kings,138,Box Score,,7222.0,,Kemper Arena,
"Wed, Jan 5, 1983",,Los Angeles Lakers,120,Philadelphia 76ers,122,Box Score,OT,18482.0,2:24,The Spectrum,
"Wed, Jan 5, 1983",,Indiana Pacers,108,Seattle SuperSonics,104,Box Score,,9203.0,,Seattle Kingdome,
"Wed, Jan 5, 1983",,San Diego Clippers,122,Utah Jazz,115,Box Score,OT,7769.0,,Salt Palace,
"Thu, Jan 6, 1983",,Los Angeles Lakers,125,Cleveland Cavaliers,107,Box Score,,11270.0,,Coliseum at Richfield,
"Thu, Jan 6, 1983",,Portland Trail Blazers,93,Golden State Warriors,94,Box Score,,6322.0,,Oakland-Alameda County Coliseum Arena,
"Thu, Jan 6, 1983",,Atlanta Hawks,99,New York Knicks,98,Box Score,,7580.0,,Madison Square Garden (IV),
"Thu, Jan 6, 1983",,Houston Rockets,109,San Diego Clippers,107,Box Score,,2700.0,,San Diego Sports Arena,
"Thu, Jan 6, 1983",7:41p,Phoenix Suns,93,New Jersey Nets,94,Box Score,,10673.0,1:58,Brendan Byrne Arena,
"Fri, Jan 7, 1983",,Dallas Mavericks,102,Atlanta Hawks,110,Box Score,,4953.0,,Omni Coliseum,
"Fri, Jan 7, 1983",,New Jersey Nets,111,Chicago Bulls,98,Box Score,,5682.0,,Chicago Stadium,
"Fri, Jan 7, 1983",,Houston Rockets,97,Denver Nuggets,125,Box Score,,9122.0,,McNichols Sports Arena,
"Fri, Jan 7, 1983",,Phoenix Suns,108,Indiana Pacers,101,Box Score,,5312.0,,Market Square Arena,
"Fri, Jan 7, 1983",,Utah Jazz,117,Kansas City Kings,139,Box Score,,7818.0,,Kemper Arena,
"Fri, Jan 7, 1983",,Detroit Pistons,92,Milwaukee Bucks,109,Box Score,,11052.0,,MECCA Arena,
"Fri, Jan 7, 1983",,Boston Celtics,116,San Antonio Spurs,113,Box Score,,14329.0,2:09,HemisFair Arena,
"Fri, Jan 7, 1983",,Philadelphia 76ers,106,Washington Bullets,89,Box Score,,19035.0,2:02,Capital Centre,
"Sat, Jan 8, 1983",,Chicago Bulls,89,Atlanta Hawks,109,Box Score,,6032.0,,Omni Coliseum,
"Sat, Jan 8, 1983",,Washington Bullets,82,Cleveland Cavaliers,98,Box Score,,2385.0,,Coliseum at Richfield,
"Sat, Jan 8, 1983",,Boston Celtics,114,Dallas Mavericks,110,Box Score,,17134.0,2:00,Reunion Arena,
"Sat, Jan 8, 1983",,Seattle SuperSonics,104,Golden State Warriors,110,Box Score,,12269.0,,Oakland-Alameda County Coliseum Arena,
"Sat, Jan 8, 1983",,Utah Jazz,87,Houston Rockets,82,Box Score,,6177.0,,The Summit,
"Sat, Jan 8, 1983",,Los Angeles Lakers,108,New York Knicks,90,Box Score,,19591.0,,Madison Square Garden (IV),
"Sat, Jan 8, 1983",,Kansas City Kings,113,Philadelphia 76ers,125,Box Score,,16522.0,2:11,The Spectrum,
"Sat, Jan 8, 1983",,Denver Nuggets,120,San Diego Clippers,122,Box Score,,3715.0,,San Diego Sports Arena,
"Sun, Jan 9, 1983",,Phoenix Suns,96,Milwaukee Bucks,106,Box Score,,10108.0,,MECCA Arena,
"Sun, Jan 9, 1983",,Seattle SuperSonics,101,Portland Trail Blazers,110,Box Score,,12666.0,,Memorial Coliseum,
"Sun, Jan 9, 1983",7:09p,Detroit Pistons,102,New Jersey Nets,110,Box Score,,10256.0,2:09,Brendan Byrne Arena,
"Tue, Jan 11, 1983",,Philadelphia 76ers,109,Atlanta Hawks,99,Box Score,,9149.0,,Omni Coliseum,
"Tue, Jan 11, 1983",,Phoenix Suns,109,Chicago Bulls,96,Box Score,,5232.0,,Chicago Stadium,
"Tue, Jan 11, 1983",,San Diego Clippers,105,Houston Rockets,97,Box Score,,6079.0,,The Summit,
"Tue, Jan 11, 1983",,Golden State Warriors,79,New York Knicks,103,Box Score,,7995.0,,Madison Square Garden (IV),
"Tue, Jan 11, 1983",,Dallas Mavericks,101,San Antonio Spurs,109,Box Score,,8224.0,,HemisFair Arena,
"Tue, Jan 11, 1983",,Denver Nuggets,131,Seattle SuperSonics,119,Box Score,,,,Seattle Kingdome,
