Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Wed, Mar 1, 1961",Detroit Pistons,122,Cincinnati Royals,137,Box Score,,,,Cincinnati Gardens,
"Wed, Mar 1, 1961",New York Knicks,107,Los Angeles Lakers,144,Box Score,,,,Boston Garden,"at Boston, MA"
"Wed, Mar 1, 1961",Philadelphia Warriors,128,Syracuse Nationals,149,Box Score,,,,Onondaga War Memorial,
"Wed, Mar 1, 1961",St. Louis Hawks,110,Boston Celtics,97,Box Score,,7712,,Boston Garden,
"Thu, Mar 2, 1961",Syracuse Nationals,110,Los Angeles Lakers,114,Box Score,,,,Scranton Catholic Youth Center,"at Scranton, PA"
"Fri, Mar 3, 1961",New York Knicks,112,Detroit Pistons,129,Box Score,,,,Hershey Sports Arena,"at Hershey, PA"
"Fri, Mar 3, 1961",Syracuse Nationals,116,Philadelphia Warriors,123,Box Score,,,,Hershey Sports Arena,"at Hershey, PA"
"Sat, Mar 4, 1961",New York Knicks,110,Boston Celtics,113,Box Score,,3443,,Boston Garden,
"Sat, Mar 4, 1961",Syracuse Nationals,115,Philadelphia Warriors,116,Box Score,,,,Philadelphia Arena,
"Sat, Mar 4, 1961",Detroit Pistons,102,St. Louis Hawks,104,Box Score,,,,Kiel Auditorium,
"Sun, Mar 5, 1961",Los Angeles Lakers,125,Syracuse Nationals,114,Box Score,,,,Onondaga War Memorial,
"Sun, Mar 5, 1961",Cincinnati Royals,124,New York Knicks,118,Box Score,,,,Madison Square Garden (III),
"Sun, Mar 5, 1961",St. Louis Hawks,127,Detroit Pistons,122,Box Score,,,,Memorial Building - University of Detroit,
"Sun, Mar 5, 1961",Philadelphia Warriors,129,Boston Celtics,146,Box Score,,7815,,Boston Garden,
"Tue, Mar 7, 1961",Cincinnati Royals,121,Boston Celtics,124,Box Score,,4430,,Rhode Island Auditorium,"at Providence, RI"
"Tue, Mar 7, 1961",Syracuse Nationals,113,New York Knicks,114,Box Score,,,,Madison Square Garden (III),
"Tue, Mar 7, 1961",Los Angeles Lakers,136,St. Louis Hawks,137,Box Score,2OT,,,Kiel Auditorium,
"Wed, Mar 8, 1961",Syracuse Nationals,127,Boston Celtics,136,Box Score,,2441,,Boston Garden,
"Wed, Mar 8, 1961",Los Angeles Lakers,103,Detroit Pistons,120,Box Score,,,,Memorial Building - University of Detroit,
"Wed, Mar 8, 1961",St. Louis Hawks,117,New York Knicks,94,Box Score,,,,Memorial Building - University of Detroit,"at Detroit, MI"
"Thu, Mar 9, 1961",Detroit Pistons,118,Boston Celtics,119,Box Score,,2784,,Onondaga War Memorial,"at Syracuse, NY"
"Thu, Mar 9, 1961",New York Knicks,126,Philadelphia Warriors,135,Box Score,,,,Philadelphia Arena,
"Thu, Mar 9, 1961",St. Louis Hawks,119,Syracuse Nationals,129,Box Score,,,,Onondaga War Memorial,
"Fri, Mar 10, 1961",Philadelphia Warriors,103,Detroit Pistons,120,Box Score,,,,War Memorial Coliseum,"at Fort Wayne, IN"
"Sat, Mar 11, 1961",Syracuse Nationals,116,Boston Celtics,126,Box Score,,3277,,Boston Garden,
"Sat, Mar 11, 1961",Philadelphia Warriors,87,St. Louis Hawks,130,Box Score,,,,Kiel Auditorium,
"Sat, Mar 11, 1961",Cincinnati Royals,108,Los Angeles Lakers,105,Box Score,,,,Los Angeles Memorial Sports Arena,
"Sun, Mar 12, 1961",Cincinnati Royals,122,Los Angeles Lakers,123,Box Score,,,,Los Angeles Memorial Sports Arena,
"Sun, Mar 12, 1961",Detroit Pistons,120,New York Knicks,106,Box Score,,,,Madison Square Garden (III),
"Sun, Mar 12, 1961",Boston Celtics,136,Syracuse Nationals,134,Box Score,OT,3214,,Onondaga War Memorial,
