Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Tue, Mar 2, 1976",,Golden State Warriors,100,Buffalo Braves,93,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Mar 2, 1976",,Detroit Pistons,113,Kansas City Kings,127,Box Score,,,,Kemper Arena,
"Tue, Mar 2, 1976",,New Orleans Jazz,109,Milwaukee Bucks,111,Box Score,OT,,,MECCA Arena,
"Tue, Mar 2, 1976",,Seattle SuperSonics,109,New York Knicks,105,Box Score,,,,Madison Square Garden (IV),
"Tue, Mar 2, 1976",,Chicago Bulls,105,Portland Trail Blazers,116,Box Score,,,,Memorial Coliseum,
"Tue, Mar 2, 1976",,Philadelphia 76ers,111,Washington Bullets,128,Box Score,,,,Capital Centre,
"Wed, Mar 3, 1976",,Seattle SuperSonics,110,Detroit Pistons,114,Box Score,,,,Cobo Arena,
"Wed, Mar 3, 1976",,Houston Rockets,113,New Orleans Jazz,105,Box Score,,,,Louisiana Superdome,
"Wed, Mar 3, 1976",,Boston Celtics,110,Philadelphia 76ers,123,Box Score,,15042.0,,The Spectrum,
"Wed, Mar 3, 1976",,Cleveland Cavaliers,92,Phoenix Suns,108,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Thu, Mar 4, 1976",,Boston Celtics,98,Atlanta Hawks,103,Box Score,,7223.0,,Omni Coliseum,
"Thu, Mar 4, 1976",,Chicago Bulls,110,Golden State Warriors,124,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Thu, Mar 4, 1976",,Washington Bullets,113,Houston Rockets,106,Box Score,,,,The Summit,
"Thu, Mar 4, 1976",,Kansas City Kings,95,Milwaukee Bucks,99,Box Score,,,,MECCA Arena,
"Fri, Mar 5, 1976",,Seattle SuperSonics,93,Kansas City Kings,111,Box Score,,,,Kemper Arena,
"Fri, Mar 5, 1976",,Golden State Warriors,99,Los Angeles Lakers,106,Box Score,,,,The Forum,
"Fri, Mar 5, 1976",,Boston Celtics,98,New Orleans Jazz,93,Box Score,,19274.0,,Louisiana Superdome,
"Fri, Mar 5, 1976",,Detroit Pistons,112,Philadelphia 76ers,123,Box Score,,,,The Spectrum,
"Fri, Mar 5, 1976",,Chicago Bulls,97,Phoenix Suns,99,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Mar 5, 1976",,Cleveland Cavaliers,113,Portland Trail Blazers,100,Box Score,,,,Memorial Coliseum,
"Sat, Mar 6, 1976",,Philadelphia 76ers,99,Buffalo Braves,105,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Mar 6, 1976",,Cleveland Cavaliers,106,Golden State Warriors,117,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Mar 6, 1976",,Atlanta Hawks,97,Houston Rockets,101,Box Score,,,,The Summit,
"Sat, Mar 6, 1976",,Washington Bullets,107,New York Knicks,116,Box Score,,,,Madison Square Garden (IV),
"Sat, Mar 6, 1976",,Phoenix Suns,99,Portland Trail Blazers,118,Box Score,,,,Memorial Coliseum,
