Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Nov 1, 1980",Milwaukee Bucks,99,Atlanta Hawks,93,Box Score,,9650,,Omni Coliseum,
"Sat, Nov 1, 1980",Detroit Pistons,100,Chicago Bulls,122,Box Score,,7117,,Chicago Stadium,
"Sat, Nov 1, 1980",Seattle SuperSonics,118,Denver Nuggets,123,Box Score,,8681,,McNichols Sports Arena,
"Sat, Nov 1, 1980",San Antonio Spurs,108,Golden State Warriors,123,Box Score,,10015,,Oakland-Alameda County Coliseum Arena,
"Sat, Nov 1, 1980",New Jersey Nets,100,Indiana Pacers,113,Box Score,,7338,,Market Square Arena,
"Sat, Nov 1, 1980",Phoenix Suns,127,Kansas City Kings,100,Box Score,,7792,,Kemper Arena,
"Sat, Nov 1, 1980",Washington Bullets,93,New York Knicks,111,Box Score,,12326,,Madison Square Garden (IV),
"Sat, Nov 1, 1980",Boston Celtics,113,Philadelphia 76ers,117,Box Score,OT,13716,2:35,The Spectrum,
"Sat, Nov 1, 1980",Utah Jazz,95,Portland Trail Blazers,87,Box Score,,12666,,Memorial Coliseum,
"Sun, Nov 2, 1980",Denver Nuggets,123,Los Angeles Lakers,121,Box Score,,11661,,The Forum,
"Sun, Nov 2, 1980",Indiana Pacers,121,Milwaukee Bucks,135,Box Score,,10980,,MECCA Arena,
"Sun, Nov 2, 1980",Cleveland Cavaliers,96,Portland Trail Blazers,102,Box Score,,12666,,Memorial Coliseum,
"Mon, Nov 3, 1980",Cleveland Cavaliers,83,Seattle SuperSonics,118,Box Score,,11723,,Seattle Kingdome,
"Tue, Nov 4, 1980",San Diego Clippers,116,Dallas Mavericks,102,Box Score,,5431,,Reunion Arena,
"Tue, Nov 4, 1980",Portland Trail Blazers,118,Los Angeles Lakers,119,Box Score,,10100,,The Forum,
"Tue, Nov 4, 1980",Detroit Pistons,98,Milwaukee Bucks,96,Box Score,,10489,,MECCA Arena,
"Tue, Nov 4, 1980",Indiana Pacers,108,Phoenix Suns,109,Box Score,,12018,,Arizona Veterans Memorial Coliseum,
"Tue, Nov 4, 1980",Kansas City Kings,104,Utah Jazz,107,Box Score,,6251,,Salt Palace,
"Tue, Nov 4, 1980",Atlanta Hawks,98,Washington Bullets,122,Box Score,,5625,,Capital Centre,
"Wed, Nov 5, 1980",Atlanta Hawks,87,Boston Celtics,104,Box Score,,12294,2:09,Boston Garden,
"Wed, Nov 5, 1980",Cleveland Cavaliers,98,Golden State Warriors,106,Box Score,,7654,,Oakland-Alameda County Coliseum Arena,
"Wed, Nov 5, 1980",San Diego Clippers,111,Houston Rockets,104,Box Score,,6186,,The Summit,
"Wed, Nov 5, 1980",New York Knicks,102,Kansas City Kings,111,Box Score,,6141,,Kemper Arena,
"Wed, Nov 5, 1980",Chicago Bulls,120,New Jersey Nets,105,Box Score,,6069,,Rutgers Athletic Center,
"Wed, Nov 5, 1980",Detroit Pistons,103,Philadelphia 76ers,107,Box Score,,5947,,The Spectrum,
"Wed, Nov 5, 1980",Phoenix Suns,84,San Antonio Spurs,114,Box Score,,12358,,HemisFair Arena,
"Wed, Nov 5, 1980",Denver Nuggets,125,Seattle SuperSonics,117,Box Score,,13075,,Seattle Kingdome,
"Thu, Nov 6, 1980",Cleveland Cavaliers,96,Utah Jazz,112,Box Score,,5704,,Salt Palace,
"Thu, Nov 6, 1980",Dallas Mavericks,95,Washington Bullets,116,Box Score,,6285,,Capital Centre,
"Fri, Nov 7, 1980",Milwaukee Bucks,102,Boston Celtics,101,Box Score,,15320,2:15,Boston Garden,
"Fri, Nov 7, 1980",Atlanta Hawks,100,Chicago Bulls,103,Box Score,,6312,,Chicago Stadium,
"Fri, Nov 7, 1980",Los Angeles Lakers,126,Dallas Mavericks,102,Box Score,,17481,,Reunion Arena,
"Fri, Nov 7, 1980",New York Knicks,124,Denver Nuggets,115,Box Score,,10612,,McNichols Sports Arena,
"Fri, Nov 7, 1980",Kansas City Kings,100,Philadelphia 76ers,117,Box Score,,11390,,The Spectrum,
"Fri, Nov 7, 1980",Golden State Warriors,113,Portland Trail Blazers,122,Box Score,,12666,,Memorial Coliseum,
"Fri, Nov 7, 1980",San Diego Clippers,94,Seattle SuperSonics,113,Box Score,,17026,,Seattle Kingdome,
"Fri, Nov 7, 1980",Detroit Pistons,88,Washington Bullets,114,Box Score,,7328,,Capital Centre,
"Sat, Nov 8, 1980",Denver Nuggets,130,Chicago Bulls,126,Box Score,2OT,9683,,Chicago Stadium,
"Sat, Nov 8, 1980",Dallas Mavericks,73,Detroit Pistons,101,Box Score,,4584,,Pontiac Silverdome,
"Sat, Nov 8, 1980",Indiana Pacers,111,Golden State Warriors,118,Box Score,,6947,,Oakland-Alameda County Coliseum Arena,
"Sat, Nov 8, 1980",Phoenix Suns,116,Houston Rockets,115,Box Score,,8208,,The Summit,
"Sat, Nov 8, 1980",Cleveland Cavaliers,106,Kansas City Kings,111,Box Score,,7514,,Kemper Arena,
"Sat, Nov 8, 1980",Atlanta Hawks,111,New Jersey Nets,115,Box Score,,7497,,Rutgers Athletic Center,
"Sat, Nov 8, 1980",San Diego Clippers,110,Portland Trail Blazers,106,Box Score,OT,12666,,Memorial Coliseum,
"Sat, Nov 8, 1980",Los Angeles Lakers,109,San Antonio Spurs,112,Box Score,,16114,,HemisFair Arena,
"Sat, Nov 8, 1980",New York Knicks,109,Utah Jazz,102,Box Score,,10409,,Salt Palace,
"Sun, Nov 9, 1980",Chicago Bulls,105,Boston Celtics,111,Box Score,,8627,2:07,Hartford Civic Center,"at Hartford, CT"
"Sun, Nov 9, 1980",Philadelphia 76ers,136,Milwaukee Bucks,121,Box Score,,11052,,MECCA Arena,
"Mon, Nov 10, 1980",Indiana Pacers,106,Utah Jazz,108,Box Score,,6132,,Salt Palace,
"Tue, Nov 11, 1980",Los Angeles Lakers,126,Atlanta Hawks,97,Box Score,,11373,,Omni Coliseum,
"Tue, Nov 11, 1980",Philadelphia 76ers,121,Chicago Bulls,80,Box Score,,18765,,Chicago Stadium,
"Tue, Nov 11, 1980",Milwaukee Bucks,100,Cleveland Cavaliers,96,Box Score,,4686,,Coliseum at Richfield,
"Tue, Nov 11, 1980",Houston Rockets,105,Dallas Mavericks,94,Box Score,,5472,,Reunion Arena,
"Tue, Nov 11, 1980",Detroit Pistons,118,New York Knicks,149,Box Score,,12283,,Madison Square Garden (IV),
"Tue, Nov 11, 1980",Kansas City Kings,102,Portland Trail Blazers,101,Box Score,,12666,,Memorial Coliseum,
"Tue, Nov 11, 1980",Indiana Pacers,119,San Antonio Spurs,113,Box Score,,11282,,HemisFair Arena,
"Tue, Nov 11, 1980",Phoenix Suns,109,San Diego Clippers,107,Box Score,,4727,,San Diego Sports Arena,
"Tue, Nov 11, 1980",Denver Nuggets,92,Washington Bullets,107,Box Score,,7218,,Capital Centre,
"Wed, Nov 12, 1980",Washington Bullets,86,Boston Celtics,93,Box Score,,13898,,Boston Garden,
"Wed, Nov 12, 1980",Milwaukee Bucks,122,Detroit Pistons,98,Box Score,,6088,,Pontiac Silverdome,
"Wed, Nov 12, 1980",Kansas City Kings,101,Golden State Warriors,111,Box Score,,9572,,Oakland-Alameda County Coliseum Arena,
"Wed, Nov 12, 1980",Los Angeles Lakers,104,Houston Rockets,107,Box Score,,11527,,The Summit,
"Wed, Nov 12, 1980",Denver Nuggets,111,New Jersey Nets,118,Box Score,,6452,,Rutgers Athletic Center,
"Wed, Nov 12, 1980",New York Knicks,125,Philadelphia 76ers,113,Box Score,,10944,,The Spectrum,
"Wed, Nov 12, 1980",San Antonio Spurs,127,Phoenix Suns,130,Box Score,,12660,2:10,Arizona Veterans Memorial Coliseum,
"Wed, Nov 12, 1980",Utah Jazz,114,Seattle SuperSonics,106,Box Score,,12562,,Seattle Kingdome,
"Thu, Nov 13, 1980",Atlanta Hawks,111,Cleveland Cavaliers,114,Box Score,,3987,,Coliseum at Richfield,
"Thu, Nov 13, 1980",Philadelphia 76ers,130,Indiana Pacers,103,Box Score,,11421,,Market Square Arena,
"Thu, Nov 13, 1980",San Antonio Spurs,113,San Diego Clippers,107,Box Score,,4281,,San Diego Sports Arena,
"Fri, Nov 14, 1980",New Jersey Nets,102,Boston Celtics,126,Box Score,,15320,2:03,Boston Garden,
"Fri, Nov 14, 1980",Portland Trail Blazers,106,Dallas Mavericks,113,Box Score,,6103,,Reunion Arena,
"Fri, Nov 14, 1980",Chicago Bulls,99,Detroit Pistons,106,Box Score,,6158,,Pontiac Silverdome,
"Fri, Nov 14, 1980",Washington Bullets,108,Indiana Pacers,118,Box Score,,9502,,Market Square Arena,
"Fri, Nov 14, 1980",San Diego Clippers,100,Los Angeles Lakers,113,Box Score,,11808,,The Forum,
"Fri, Nov 14, 1980",New York Knicks,106,Milwaukee Bucks,125,Box Score,,11052,,MECCA Arena,
"Fri, Nov 14, 1980",Kansas City Kings,125,Seattle SuperSonics,127,Box Score,,13334,,Seattle Kingdome,
"Fri, Nov 14, 1980",Houston Rockets,115,Utah Jazz,117,Box Score,,10161,,Salt Palace,
"Sat, Nov 15, 1980",Washington Bullets,100,Atlanta Hawks,88,Box Score,,8109,,Omni Coliseum,
"Sat, Nov 15, 1980",Portland Trail Blazers,123,Denver Nuggets,125,Box Score,,11011,,McNichols Sports Arena,
"Sat, Nov 15, 1980",Phoenix Suns,108,Golden State Warriors,119,Box Score,,13237,,Oakland-Alameda County Coliseum Arena,
"Sat, Nov 15, 1980",Cleveland Cavaliers,95,New York Knicks,100,Box Score,,15998,,Madison Square Garden (IV),
"Sat, Nov 15, 1980",New Jersey Nets,108,Philadelphia 76ers,115,Box Score,,12628,,The Spectrum,
"Sat, Nov 15, 1980",Utah Jazz,104,San Antonio Spurs,120,Box Score,,13612,,HemisFair Arena,
"Sat, Nov 15, 1980",Kansas City Kings,96,San Diego Clippers,94,Box Score,,5211,,San Diego Sports Arena,
"Sat, Nov 15, 1980",Houston Rockets,139,Seattle SuperSonics,143,Box Score,OT,16417,,Seattle Kingdome,
"Sun, Nov 16, 1980",Dallas Mavericks,102,Los Angeles Lakers,110,Box Score,,10893,,The Forum,
