Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Tue, Oct 12, 1971",Philadelphia 76ers,114,Chicago Bulls,100,Box Score,,,,Chicago Stadium,
"Tue, Oct 12, 1971",Seattle SuperSonics,123,Buffalo Braves,90,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Oct 12, 1971",Detroit Pistons,91,New York Knicks,84,Box Score,,,,Madison Square Garden (IV),
"Tue, Oct 12, 1971",Atlanta Hawks,113,Cincinnati Royals,127,Box Score,,,,Cincinnati Gardens,
"Thu, Oct 14, 1971",Philadelphia 76ers,105,Houston Rockets,94,Box Score,,,,Astrohall,
"Thu, Oct 14, 1971",Milwaukee Bucks,110,Phoenix Suns,97,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Oct 15, 1971",Golden State Warriors,97,Boston Celtics,75,Box Score,,9097.0,,Boston Garden,
"Fri, Oct 15, 1971",Baltimore Bullets,82,Chicago Bulls,106,Box Score,,,,Chicago Stadium,
"Fri, Oct 15, 1971",Buffalo Braves,111,Cleveland Cavaliers,109,Box Score,OT,,,Cleveland Arena,
"Fri, Oct 15, 1971",Los Angeles Lakers,132,Detroit Pistons,103,Box Score,,,,Cobo Arena,
"Fri, Oct 15, 1971",Seattle SuperSonics,119,Portland Trail Blazers,88,Box Score,,,,Memorial Coliseum,
"Sat, Oct 16, 1971",Philadelphia 76ers,104,Atlanta Hawks,102,Box Score,,,,Alexander Memorial Coliseum,
"Sat, Oct 16, 1971",Golden State Warriors,93,Baltimore Bullets,108,Box Score,,,,Baltimore Civic Center,
"Sat, Oct 16, 1971",Cleveland Cavaliers,93,Buffalo Braves,89,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Oct 16, 1971",Los Angeles Lakers,119,New York Knicks,104,Box Score,,,,Madison Square Garden (IV),
"Sat, Oct 16, 1971",Houston Rockets,108,Phoenix Suns,128,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Oct 16, 1971",Milwaukee Bucks,98,Seattle SuperSonics,91,Box Score,,,,Seattle Center Coliseum,
"Sun, Oct 17, 1971",Milwaukee Bucks,127,Portland Trail Blazers,94,Box Score,,,,Memorial Coliseum,
"Sun, Oct 17, 1971",Houston Rockets,99,Detroit Pistons,112,Box Score,,,,HemisFair Arena,"at San Antonio, TX"
"Sun, Oct 17, 1971",New York Knicks,121,Cleveland Cavaliers,120,Box Score,OT,,,Cleveland Arena,
"Tue, Oct 19, 1971",Los Angeles Lakers,123,Buffalo Braves,106,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Oct 19, 1971",Seattle SuperSonics,101,Cincinnati Royals,100,Box Score,,,,Cincinnati Gardens,
"Tue, Oct 19, 1971",Cleveland Cavaliers,82,Milwaukee Bucks,116,Box Score,,,,Milwaukee Arena,
"Tue, Oct 19, 1971",Golden State Warriors,84,New York Knicks,93,Box Score,,,,Madison Square Garden (IV),
"Tue, Oct 19, 1971",Detroit Pistons,101,Portland Trail Blazers,99,Box Score,,,,Memorial Coliseum,
"Tue, Oct 19, 1971",Baltimore Bullets,114,Boston Celtics,134,Box Score,,4216.0,,Boston Garden,
"Wed, Oct 20, 1971",Golden State Warriors,115,Cleveland Cavaliers,98,Box Score,,,,Cleveland Arena,
"Wed, Oct 20, 1971",Seattle SuperSonics,93,Philadelphia 76ers,100,Box Score,,,,The Spectrum,
"Wed, Oct 20, 1971",Houston Rockets,110,Chicago Bulls,125,Box Score,,,,Heart O' Texas Coliseum,"at Waco, TX"
"Wed, Oct 20, 1971",Los Angeles Lakers,126,Atlanta Hawks,104,Box Score,,,,Alexander Memorial Coliseum,
"Fri, Oct 22, 1971",Boston Celtics,115,Atlanta Hawks,108,Box Score,,4880.0,,Alexander Memorial Coliseum,
"Fri, Oct 22, 1971",New York Knicks,110,Baltimore Bullets,87,Box Score,,,,Baltimore Civic Center,
"Fri, Oct 22, 1971",Chicago Bulls,113,Los Angeles Lakers,106,Box Score,,,,The Forum,
"Fri, Oct 22, 1971",Buffalo Braves,105,Milwaukee Bucks,124,Box Score,,,,Milwaukee Arena,
"Fri, Oct 22, 1971",Detroit Pistons,116,Phoenix Suns,109,Box Score,,,,Arizona Veterans Memorial Coliseum,
