Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Thu, Oct 23, 1975",,Golden State Warriors,89,Cleveland Cavaliers,83,Box Score,,,,Coliseum at Richfield,
"Thu, Oct 23, 1975",,Los Angeles Lakers,104,New York Knicks,101,Box Score,,,,Madison Square Garden (IV),
"Thu, Oct 23, 1975",,Kansas City Kings,95,Washington Bullets,107,Box Score,,,,Capital Centre,
"Thu, Oct 23, 1975",,New Orleans Jazz,91,Atlanta Hawks,109,Box Score,,,,Omni Coliseum,
"Fri, Oct 24, 1975",,Houston Rockets,94,Boston Celtics,109,Box Score,,13082.0,,Boston Garden,
"Fri, Oct 24, 1975",,Philadelphia 76ers,110,Chicago Bulls,103,Box Score,,,,Chicago Stadium,
"Fri, Oct 24, 1975",,Detroit Pistons,106,New Orleans Jazz,114,Box Score,,,,Louisiana Superdome,
"Fri, Oct 24, 1975",,Portland Trail Blazers,97,Seattle SuperSonics,105,Box Score,,,,Seattle Center Coliseum,
"Sat, Oct 25, 1975",,Detroit Pistons,108,Atlanta Hawks,102,Box Score,,,,Omni Coliseum,
"Sat, Oct 25, 1975",,Golden State Warriors,92,Buffalo Braves,104,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Oct 25, 1975",,Chicago Bulls,91,Milwaukee Bucks,87,Box Score,,,,MECCA Arena,
"Sat, Oct 25, 1975",,Cleveland Cavaliers,91,New York Knicks,100,Box Score,,,,Madison Square Garden (IV),
"Sat, Oct 25, 1975",,Phoenix Suns,89,Portland Trail Blazers,88,Box Score,,,,Memorial Coliseum,
"Sun, Oct 26, 1975",,Phoenix Suns,99,Seattle SuperSonics,113,Box Score,,,,Seattle Center Coliseum,
"Sun, Oct 26, 1975",9:05p,New York Knicks,114,New Orleans Jazz,125,Box Score,2OT,13108.0,,Louisiana Superdome,
"Mon, Oct 27, 1975",,Los Angeles Lakers,104,Philadelphia 76ers,117,Box Score,,,,The Spectrum,
"Tue, Oct 28, 1975",,Houston Rockets,108,Buffalo Braves,124,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Oct 28, 1975",,Seattle SuperSonics,90,Chicago Bulls,101,Box Score,,,,Chicago Stadium,
"Tue, Oct 28, 1975",,Los Angeles Lakers,99,Milwaukee Bucks,92,Box Score,,,,MECCA Arena,
"Tue, Oct 28, 1975",,Portland Trail Blazers,90,New Orleans Jazz,99,Box Score,,,,Louisiana Superdome,
"Tue, Oct 28, 1975",,Golden State Warriors,111,New York Knicks,94,Box Score,,,,Madison Square Garden (IV),
"Wed, Oct 29, 1975",,Golden State Warriors,106,Boston Celtics,115,Box Score,,10060.0,,Boston Garden,
"Wed, Oct 29, 1975",,Los Angeles Lakers,99,Detroit Pistons,112,Box Score,,,,Cobo Arena,
"Wed, Oct 29, 1975",,Seattle SuperSonics,92,Kansas City Kings,91,Box Score,,,,Kemper Arena,
"Thu, Oct 30, 1975",,Chicago Bulls,91,Cleveland Cavaliers,108,Box Score,,,,Coliseum at Richfield,
"Thu, Oct 30, 1975",,Kansas City Kings,113,New York Knicks,117,Box Score,,,,Madison Square Garden (IV),
"Fri, Oct 31, 1975",,Portland Trail Blazers,94,Boston Celtics,112,Box Score,,15320.0,,Boston Garden,
"Fri, Oct 31, 1975",,Houston Rockets,127,Detroit Pistons,131,Box Score,,,,Cobo Arena,
"Fri, Oct 31, 1975",,Seattle SuperSonics,104,Los Angeles Lakers,120,Box Score,,,,The Forum,
"Fri, Oct 31, 1975",,Milwaukee Bucks,85,New Orleans Jazz,100,Box Score,,,,Louisiana Superdome,
"Fri, Oct 31, 1975",,Buffalo Braves,92,Philadelphia 76ers,87,Box Score,,,,The Spectrum,
