,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,Team_Name,c2,c3
0,Bundesliga,2000,Bayern Munich,"[3, 3, 3, 0, 3, 3, 0, 0, 3, 1, 3, 0, 0, 1, 3, 1, 3, 3, 3, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 3, 3, 3, 3, 1]",34,17,17,63,30,33,2000 Bayern Munich,1.3708340420728449,1.4184397163120568
1,Bundesliga,2000,Bochum,"[3, 0, 0, 0, 3, 1, 3, 0, 0, 0, 1, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0]",34,17,17,27,18,9,2000 Bochum,46.08968346891825,6.896551724137931
2,Bundesliga,2000,Cottbus,"[0, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1, 3, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 0, 3, 0, 0, 3, 3]",34,17,17,39,17,22,2000 Cottbus,1.1822579431287847,1.342281879194631
3,Bundesliga,2000,Dortmund,"[3, 3, 0, 3, 3, 0, 1, 3, 0, 0, 0, 3, 1, 3, 3, 3, 1, 3, 3, 0, 1, 3, 1, 3, 1, 0, 3, 1, 0, 3, 1, 1, 3, 1]",34,17,17,58,30,28,2000 Dortmund,2.901612185326976,2.314814814814815
4,Bundesliga,2000,Ein Frankfurt,"[3, 0, 3, 0, 3, 1, 1, 0, 0, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 3]",34,17,17,35,20,15,2000 Ein Frankfurt,6.733019412072339,3.3333333333333335
5,Bundesliga,2000,FC Koln,"[0, 3, 1, 1, 0, 0, 0, 3, 0, 3, 1, 3, 3, 3, 3, 0, 1, 1, 3, 0, 0, 0, 1, 3, 3, 1, 3, 1, 1, 0, 3, 0, 0, 1]",34,17,17,46,25,21,2000 FC Koln,4.694178406407567,2.7548209366391183
6,Bundesliga,2000,Freiburg,"[3, 1, 1, 1, 3, 0, 0, 0, 3, 0, 0, 0, 3, 1, 1, 3, 3, 1, 3, 3, 1, 3, 0, 0, 1, 1, 3, 1, 3, 3, 0, 3, 3, 3]",34,17,17,55,23,32,2000 Freiburg,1.0383206100686961,1.1098779134295227
7,Bundesliga,2000,Hamburg,"[1, 0, 3, 3, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1]",34,17,17,41,21,20,2000 Hamburg,2.3810769979942017,1.8691588785046729
8,Bundesliga,2000,Hansa Rostock,"[0, 0, 0, 1, 3, 3, 3, 0, 3, 1, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 1, 3, 3, 3, 0, 3, 0, 1, 1, 3, 0, 3, 1, 0]",34,17,17,43,21,22,2000 Hansa Rostock,1.7257451955474763,1.607717041800643
9,Bundesliga,2000,Hertha,"[0, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 3]",34,17,17,56,28,28,2000 Hertha,2.0,1.7513134851138354
10,Bundesliga,2000,Kaiserslautern,"[0, 0, 3, 1, 3, 0, 1, 3, 3, 3, 3, 0, 0, 0, 3, 1, 3, 3, 1, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 0, 0, 1, 0, 0]",34,17,17,50,27,23,2000 Kaiserslautern,4.6706812835138996,2.7777777777777777
11,Bundesliga,2000,Leverkusen,"[3, 0, 3, 1, 0, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 3, 0, 0, 3, 3, 3, 0, 0, 0, 3, 3, 0, 3, 0, 1, 3, 0, 1, 3]",34,17,17,57,31,26,2000 Leverkusen,6.274909606634865,3.5211267605633805
12,Bundesliga,2000,Munich 1860,"[1, 3, 3, 1, 0, 3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 3, 3, 3, 0, 3, 0, 1, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 1, 0]",34,17,17,44,21,23,2000 Munich 1860,1.5258695793580288,1.5151515151515151
